snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
35,0.166,0.005,65199836,21891200,18536268,24772368,67108860,67108860,0,37972344,backup,40,0.5,2019-10-24 13:49:58
36,0.166,0.005,65199836,21891564,18535800,24772472,67108860,67108860,0,37972720,backup,40,0.5,2019-10-24 13:49:58
37,0.166,0.005,65199836,21889404,18533148,24777284,67108860,67108860,0,37975304,backup,40,0.5,2019-10-24 13:49:58
38,0.166,0.005,65199836,21890448,18531980,24777408,67108860,67108860,0,37976408,backup,40,0.5,2019-10-24 13:49:58
39,0.166,0.005,65199836,21890260,18532028,24777548,67108860,67108860,0,37976292,backup,40,0.5,2019-10-24 13:49:58
40,0.166,0.005,65199836,21888180,18534020,24777636,67108860,67108860,0,37974224,backup,40,0.5,2019-10-24 13:49:58
41,0.166,0.005,65199836,21888196,18533936,24777704,67108860,67108860,0,37974244,backup,40,0.5,2019-10-24 13:49:58
42,0.166,0.005,65199836,21888880,18533176,24777780,67108860,67108860,0,37974940,backup,40,0.5,2019-10-24 13:49:58
43,0.166,0.005,65199836,21883288,18534108,24782440,67108860,67108860,0,37973940,backup,40,0.5,2019-10-24 13:49:58
44,0.166,0.005,65199836,21879692,18533644,24786500,67108860,67108860,0,37974308,backup,40,0.5,2019-10-24 13:49:58
45,0.166,0.005,65199836,21880208,18532864,24786764,67108860,67108860,0,37974996,backup,40,0.5,2019-10-24 13:49:58
46,0.166,0.005,65199836,21880380,18532536,24786920,67108860,67108860,0,37975236,backup,40,0.5,2019-10-24 13:49:58
47,0.166,0.005,65199836,21753348,18609720,24836768,67108860,67108860,0,37873124,backup,40,0.5,2019-10-24 13:49:58
48,0.166,0.005,65199836,21679300,18675780,24844756,67108860,67108860,0,37802828,backup,40,0.5,2019-10-24 13:49:58
49,0.166,0.005,65199836,21416604,18681516,25101716,67108860,67108860,0,37670328,backup,40,0.5,2019-10-24 13:49:58
